"","ID","WQ1_1_6","WQ2_1_6","WQ3_1_6","WQ4_1_6","WQ5_1_6","experiment","Seq"
"407",90,2,3,5,4,5,0,1
"408",90,4,2,4,4,5,0,2
"409",90,2,2,2,3,5,0,3
"410",90,3,3,4,2,4,0,4
"411",90,2,4,6,1,5,0,5
"412",90,2,4,6,3,6,0,6
"413",90,5,5,4,2,5,0,7
"414",90,2,2,5,4,5,0,8
"415",90,4,4,2,5,4,0,9
"416",90,2,4,4,4,2,0,10
"417",91,4,2,4,2,2,0,1
"418",91,5,4,6,3,4,0,2
"419",91,5,5,4,4,5,0,3
"420",91,5,4,5,4,5,0,4
"421",91,5,5,5,4,5,0,5
"422",91,4,4,4,2,4,0,6
"423",91,4,5,5,2,4,0,7
"424",91,4,5,5,2,4,0,8
"425",91,5,4,5,3,5,0,9
"426",91,5,2,4,2,5,0,10
"427",91,4,4,4,4,4,0,11
"428",91,5,5,4,4,4,0,12
"429",92,5,4,2,5,5,0,1
"430",93,3,4,3,4,3,1,1
"431",93,3,5,2,4,3,1,2
"432",94,4,5,2,5,4,0,1
"433",95,4,4,2,2,5,1,1
"434",95,2,2,4,2,4,1,2
"435",95,2,3,2,3,3,1,3
"436",95,5,6,4,5,6,1,4
"437",95,4,5,4,2,4,1,5
"438",95,5,4,5,4,5,1,6
"439",95,5,5,4,4,4,1,7
"440",95,5,5,4,4,4,1,8
"441",96,3,2,4,1,4,0,1
"442",96,2,3,4,3,2,0,2
"443",96,4,2,4,3,2,0,3
"444",97,4,2,2,1,2,1,1
"445",97,4,4,2,1,2,1,2
"446",97,2,2,2,3,4,1,3
"447",97,4,4,2,3,2,1,4
"448",98,5,5,4,4,4,0,1
"449",98,5,5,5,4,5,0,2
"450",98,4,4,4,2,4,0,3
"451",98,5,4,4,4,4,0,4
"452",98,5,5,4,4,5,0,5
"453",98,5,4,4,4,4,0,6
"454",98,5,5,4,4,5,0,7
"455",98,4,4,4,2,4,0,8
"456",98,5,5,5,4,5,0,9
